date,holiday_name,type,comment
2023-05-30,Pesta Kaamatan,Regional Holiday,Sabah and Labuan only
2023-05-31,Pesta Kaamatan,Regional Holiday,Sabah and Labuan only
2023-06-01,Gawai Dayak,Regional Holiday,Sarawak
2023-06-02,Gawai Dayak,Regional Holiday,Sarawak
2023-06-05,Birthday of SPB Yang di Pertuan Agong,National Holiday,1st Monday in June
2023-06-18,Birthday of the Sultan of Kedah,Regional Holiday,Kedah only
2023-06-28,Arafat (Haj) Day,Regional Holiday,"Kelantan, Terengganu"
2023-06-29,Hari Raya Haji,National Holiday,Festival of Sacrifice
2023-06-30,Hari Raya Haji Holiday,Regional Holiday,Some states
2023-07-07,George Town Heritage Day,Regional Holiday,Penang only
2023-07-08,Birthday of the Governor of Penang,Regional Holiday,Penang
2023-07-19,Awal Muharram,National Holiday,Hijri New Year
2023-07-22,Sarawak Day,Regional Holiday,
2023-07-30,Birthday of the Sultan of Pahang,Regional Holiday,Pahang only
2023-08-23,The Sultan of Johor Hol,Regional Holiday,Johor only
2023-08-24,Melaka Governor's Birthday,Regional Holiday,Melaka
2023-08-31,National Day,National Holiday,Independence Day
2023-09-16,Malaysia Day,National Holiday,Became a Federal Holiday in 2010
2023-09-28,Maulidur Rasul,National Holiday,Birthday of Prophet Muhammad
2023-10-07,Birthday of the Governor of Sabah,Regional Holiday,Sabah only. 1st Saturday in October
2023-10-14,Birthday of the Governor of Sarawak,Regional Holiday,Sarawak only
2023-11-03,Birthday of the Sultan of Perak,Regional Holiday,Perak
2023-11-11,Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan only
2023-11-12,Deepavali,Regional Holiday,The festival of lights. Except Sarawak
2023-11-12,Birthday of the Sultan of Kelantan Holiday,Regional Holiday,Kelantan only. Second day
2023-11-13,Deepavali Holiday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG"
2023-12-11,Birthday of The Sultan of Selangor,Regional Holiday,Selangor
2023-12-24,Christmas Eve,Regional Holiday,Sabah
2023-12-25,Christmas Day,National Holiday,
2021-01-01,New Year's Day,Regional Holiday,Most states
